date,symbol,actual_units,declared_units,health,healthy_closes,readmit,entry,score,cash_fraction,risk_cap,protected,structural_witness
2023-03-21,sz300502,0,0,True,3,True,True,1.4135883922064265,0.44106037285155841,1,False,True
2023-05-26,sz300394,0,0,True,4,True,True,2.3083381007328354,0.71881010343644902,1,False,True
2023-05-29,sz300394,0,0,True,5,True,True,2.656000271109169,0.70852900871426583,1,False,True
2023-10-10,sz300394,0,0,True,7,True,True,1.6720129115826916,1,1,False,True
2023-10-11,sz300394,0,0,True,8,True,True,1.4833138146356113,1,1,False,True
2024-01-24,sz300502,0,0,True,6,True,True,0.25227394544450332,1,1,False,True
2024-01-25,sz300502,0,0,True,7,True,True,0.42137430881115923,0.44549193571545431,1,False,True
2024-02-19,sz300308,0,0,True,5,True,True,0.43281319755815217,0.75401366958745719,0.5,False,True
2024-02-20,sz300308,0,0,True,6,True,True,0.65506304391201686,0.75683987564987676,0.5,False,True
2024-04-17,sz300394,0,0,True,4,True,True,1.8460200646535376,0.48762916692491132,0.5,False,True
2024-04-18,sz300394,0,0,True,5,True,True,1.8111858406102861,0.48942593060703454,0.5,False,True
2024-06-11,sh603986,0,0,True,8,True,True,0.069070870213071484,0.67011886043167201,0.5,False,True
2024-06-13,sh603986,0,0,True,10,True,True,0.084464056598248238,0.66055228509780184,1,False,True
2024-06-14,sh603986,0,0,True,11,True,True,0.16153658197665741,0.63122725356905962,1,False,True
2024-06-17,sz300308,0,0,True,4,True,True,2.1463118568936292,0.44244563752883509,1,False,True
2024-09-24,sz300502,0,0,True,7,True,True,2.1542325143957868,1,0.5,False,True
2024-09-25,sz300502,0,0,True,8,True,True,1.9563263811461844,1,0.5,False,True
2024-12-18,sh603986,0,0,True,4,True,True,1.1707347837638329,1,0.5,False,True
2024-12-19,sh603986,0,0,True,5,True,True,1.4200862084408505,1,0.5,False,True
2024-12-20,sz300502,0,0,True,8,True,True,1.2961634111237457,0.54146255106488272,1,False,True
2025-01-23,sz300394,0,0,True,6,True,True,0.71512357510989777,0.71981327215852575,1,False,True
2025-01-23,sz300502,0,0,True,6,True,True,1.5508883860555864,0.71981327215852575,1,False,True
2025-01-24,sz300394,0,0,True,7,True,True,0.79538771225297134,0.71976651013426751,1,False,True
2025-01-24,sz300502,0,0,True,7,True,True,1.4589910191853264,0.71976651013426751,1,False,True
2025-02-07,sh688008,0,0,True,3,True,True,1.484905750026615,0.46038892187364194,1,False,True
2025-05-07,sh603986,0,0,True,10,True,True,1.7492910372850827,1,1,False,True
2025-05-07,sz300502,0,0,True,10,True,True,0.17473849464010729,1,1,False,True
2025-05-08,sh603986,0,0,True,11,True,True,1.7382450058758998,1,1,False,True
2025-05-08,sh688008,0,0,True,5,True,True,1.6659986961591275,1,1,False,True
2025-05-08,sz300502,0,0,True,11,True,True,0.83698535704001309,1,1,False,True
2025-05-09,sh688008,0,0,True,6,True,True,1.3174600824671063,1,1,False,True
2025-09-15,sz300308,0,0,True,4,True,True,2.8852787982006283,1,0.5,False,True
2025-09-16,sz300308,0,0,True,5,True,True,2.9731088573040445,0.73502905282518705,0.5,False,True
2025-11-28,sz300308,0,0,True,4,True,True,4.0757996139011157,1,0.5,False,True
2025-12-01,sz300308,0,0,True,5,True,True,4.7932000826554901,1,0.5,False,True
2025-12-05,sz300502,0,0,True,8,True,True,6.3584055090065972,0.68728882702155025,1,False,True
